dealdate	totalPrice	unitPrice	square	count
2016-01	457.2958	39641.8516	111.8278	1893
2016-01-01	334.8991	33208.0092	102.4587	109
2016-01-02	328.0317	36048.8175	91.1190	126
2016-01-03	347.6595	36608.3459	97.1351	185
2016-01-04	379.7928	38231.0811	98.3964	111
2016-01-05	403.7684	40289.5789	97.2947	95
2016-01-06	365.9286	36937.7857	98.2143	84
2016-01-07	346.3667	37661.4000	92.3444	90
2016-01-08	330.4189	35806.3378	92.0405	74
2016-01-09	348.2727	35743.6465	94.8232	198
2016-01-10	362.6000	36713.9792	99.1208	240
2016-01-11	394.4800	40256.3800	97.3900	100
2016-01-12	404.6344	39193.7527	103.2688	93
2016-01-13	365.7532	37783.0909	94.3117	77
2016-01-14	427.1446	37591.4458	110.8434	83
2016-01-15	403.5714	39742.7571	97.2143	70
2016-01-16	365.8306	38197.8798	92.9344	183
2016-01-17	352.9427	36568.1322	96.6300	227
2016-01-18	387.0517	38992.2845	97.0345	116
2016-01-19	390.5119	38997.0119	100.6905	84
2016-01-20	359.6829	35884.0488	99.4756	82
2016-01-21	385.3718	39900.4615	98.5641	78
2016-01-22	415.8571	38132.7792	106.8701	77
2016-01-23	355.3374	36452.5828	95.4908	163
2016-01-24	368.7018	37249.8904	97.4123	228
2016-01-25	361.5794	37120.6905	95.6667	126
2016-01-26	430.3500	38729.3000	104.1875	80
2016-01-27	423.2262	38062.3095	110.6905	84
2016-01-28	451.8806	41926.4776	104.4179	67
2016-01-29	360.3735	37081.8072	94.8916	83
2016-01-30	349.1438	35072.6918	96.9521	146
2016-01-31	404.4536	40367.5191	100.5355	183
2016-02	433.3142	39229.6757	107.4943	1582
2016-02-01	348.8088	35773.1765	97.4265	68
2016-02-02	394.6719	39132.0625	98.8281	64
2016-02-03	420.1923	36259.4615	110.0769	52
2016-02-04	384.8889	35293.2593	105.0370	27
2016-02-05	430.2500	40337.5833	114.8333	12
2016-02-06	634.6000	38184.6000	144.0000	5
2016-02-08	278.0000	19466.0000	142.0000	1
2016-02-13	266.6667	36238.6667	81.6667	3
2016-02-14	551.5000	36285.5000	146.5000	2
2016-02-15	351.1739	36326.4783	89.6087	23
2016-02-16	348.7115	36364.3654	96.7115	52
2016-02-17	329.1864	37352.7458	89.9322	59
2016-02-18	357.2338	37185.4286	95.1688	77
2016-02-19	364.7683	39711.4878	92.6951	82
2016-02-20	340.6957	36007.8913	95.0978	184
2016-02-21	355.1382	37222.1055	96.0945	275
2016-02-22	359.0909	37823.0992	96.1405	121
2016-02-23	411.5481	39204.8370	104.3704	135
2016-02-24	405.5696	41260.8924	98.8671	158
2016-02-25	369.0625	39615.2813	92.7313	160
2016-02-26	361.7863	36634.6031	100.2443	131
2016-02-27	376.8882	37595.3962	100.1310	313
2016-02-28	372.9892	38440.4172	98.3419	465
2016-02-29	387.2488	40066.3803	96.2113	213
2016-03	466.0530	41543.3537	109.7253	2304
2016-03-01	378.1765	38930.5163	96.3007	153
2016-03-02	373.8107	39339.1650	97.3252	206
2016-03-03	413.6592	41036.0056	102.8659	179
2016-03-04	383.3597	38612.1655	100.6259	139
2016-03-05	371.5047	39492.0031	95.1034	319
2016-03-06	377.4236	39205.5013	97.1180	373
